call_id,timestamp,duration,agent,queue,team,department,team_leader,customer_number
GEN-EB26D4A1,2026-01-04 11:07:38,275,agent.032,General Support,Tech L2,Technical Service,leader.techl2,+905553887071
GEN-18287937,2026-01-12 10:36:37,254,agent.040,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905557020576
GEN-849BB2C4,2025-12-27 10:28:22,229,agent.011,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905555848510
GEN-C1AEB65F,2025-12-30 06:45:34,101,agent.029,VIP Line,Tech L1,Technical Service,leader.techl1,+905551582228
GEN-25F5AA31,2026-01-14 12:08:20,227,agent.027,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905551777491
GEN-7F6A131A,2026-01-07 13:58:13,234,agent.011,Tech Support,VIP Support,Customer Support,leader.vipsupport,+905552032164
GEN-205CF1FE,2026-01-14 12:44:52,131,agent.048,General Support,Outbound Sales,Sales,leader.outboundsales,+905555433711
GEN-386A6660,2026-01-11 12:18:34,209,agent.046,General Support,Tech L1,Technical Service,leader.techl1,+905552713404
GEN-DA7AB775,2025-12-31 17:11:01,111,agent.034,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905553948609
GEN-8B644987,2025-12-24 15:47:06,257,agent.027,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905558555492
GEN-12DE90C7,2026-01-02 11:24:23,163,agent.019,Tech Support,Tech L1,Technical Service,leader.techl1,+905553079428
GEN-4AA8579C,2026-01-01 18:14:17,158,agent.023,Tech Support,Inbound A,Customer Support,leader.inbounda,+905554488291
GEN-3FCA9592,2025-12-24 19:58:26,183,agent.026,VIP Line,Tech L1,Technical Service,leader.techl1,+905559652262
GEN-74744831,2026-01-16 12:54:43,163,agent.041,Sales Line,Retention,Sales,leader.retention,+905556636584
GEN-7C9C25D6,2025-12-23 15:43:05,204,agent.027,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905553557940
GEN-284A7156,2026-01-08 17:32:37,188,agent.012,Sales Line,Tech L2,Technical Service,leader.techl2,+905553409403
GEN-3A391C52,2026-01-17 10:32:41,84,agent.006,Tech Support,Retention,Sales,leader.retention,+905559791333
GEN-C95B34F7,2025-12-19 06:32:23,107,agent.043,General Support,Tech L1,Technical Service,leader.techl1,+905553681016
GEN-D0B94580,2025-12-30 16:21:41,227,agent.015,Sales Line,Retention,Sales,leader.retention,+905559242881
GEN-5DA9D7C7,2026-01-09 19:23:16,260,agent.025,Sales Line,Tech L2,Technical Service,leader.techl2,+905553880591
GEN-B182AF79,2026-01-17 14:13:31,0,,Tech Support,,,,+905553627188
GEN-91CC6C5F,2025-12-22 15:22:30,224,agent.002,Tech Support,Inbound A,Customer Support,leader.inbounda,+905559347640
GEN-C7024C40,2025-12-26 08:18:38,231,agent.025,Sales Line,Tech L2,Technical Service,leader.techl2,+905551811449
GEN-8F4D0B66,2026-01-07 13:26:22,190,agent.027,General Support,VIP Support,Customer Support,leader.vipsupport,+905554353427
GEN-F9CBD5C1,2025-12-25 18:15:36,227,agent.039,Tech Support,Tech L1,Technical Service,leader.techl1,+905551394712
GEN-480D504F,2026-01-06 11:15:16,96,agent.008,Sales Line,Inbound A,Customer Support,leader.inbounda,+905554364225
GEN-E98DA960,2025-12-19 12:38:48,186,agent.047,General Support,Inbound B,Customer Support,leader.inboundb,+905551394712
GEN-0F56956B,2026-01-09 15:12:47,299,agent.044,VIP Line,Inbound A,Customer Support,leader.inbounda,+905555361911
GEN-DF13E8AA,2025-12-29 09:03:53,212,agent.048,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905553663650
GEN-12D5AA7E,2026-01-08 16:35:49,69,agent.019,Tech Support,Tech L1,Technical Service,leader.techl1,+905555851449
GEN-0F9B07D6,2026-01-04 12:35:45,208,agent.036,Tech Support,Inbound B,Customer Support,leader.inboundb,+905557306325
GEN-1AFD3E37,2025-12-23 14:01:09,79,agent.041,VIP Line,Retention,Sales,leader.retention,+905556291844
GEN-358E7F9D,2025-12-25 14:01:58,153,agent.033,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905556752577
GEN-6A9BEB4E,2025-12-18 15:07:10,205,agent.025,Sales Line,Tech L2,Technical Service,leader.techl2,+905554200812
GEN-0FE41941,2026-01-12 17:36:42,222,agent.005,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905553907713
GEN-8495FF1A,2025-12-26 16:25:15,107,agent.047,Sales Line,Inbound B,Customer Support,leader.inboundb,+905554438631
GEN-5A615E7B,2026-01-06 07:31:29,249,agent.044,Tech Support,Inbound A,Customer Support,leader.inbounda,+905553345664
GEN-66AB67E0,2025-12-25 17:47:03,0,,General Support,,,,+905555433711
GEN-34E8CA71,2026-01-11 13:46:42,247,agent.048,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905557516980
GEN-8291BBB9,2026-01-04 07:38:44,247,agent.044,VIP Line,Inbound A,Customer Support,leader.inbounda,+905553289339
GEN-B5D717E7,2025-12-31 15:13:01,0,,General Support,,,,+905556801565
GEN-BFD86074,2025-12-18 11:26:55,215,agent.043,Sales Line,Tech L1,Technical Service,leader.techl1,+905551761652
GEN-EF0D6F2B,2026-01-09 16:11:51,141,agent.041,VIP Line,Retention,Sales,leader.retention,+905559916515
GEN-63298180,2026-01-05 17:08:55,161,agent.037,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905557151681
GEN-67BC0A84,2025-12-20 16:44:50,221,agent.019,Tech Support,Tech L1,Technical Service,leader.techl1,+905559932972
GEN-F0F34015,2026-01-07 09:30:24,0,,VIP Line,,,,+905555963464
GEN-A81B7052,2026-01-11 18:48:51,179,agent.048,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905551850545
GEN-4FD3F3EC,2026-01-09 16:13:44,236,agent.009,Tech Support,Inbound A,Customer Support,leader.inbounda,+905558399298
GEN-2A58CB64,2026-01-12 14:41:10,187,agent.037,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905552479237
GEN-D04E13FD,2025-12-27 08:52:51,199,agent.014,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905558428006
GEN-AC136D44,2025-12-31 13:40:56,236,agent.029,Sales Line,Tech L1,Technical Service,leader.techl1,+905552493867
GEN-5237EF3D,2025-12-18 16:53:55,148,agent.043,VIP Line,Tech L1,Technical Service,leader.techl1,+905557875957
GEN-123AE31B,2025-12-29 17:57:18,277,agent.032,VIP Line,Tech L2,Technical Service,leader.techl2,+905554248748
GEN-BE79F2F9,2025-12-27 09:28:32,197,agent.025,General Support,Tech L2,Technical Service,leader.techl2,+905552265632
GEN-4508F672,2026-01-13 15:42:35,204,agent.029,Tech Support,Tech L1,Technical Service,leader.techl1,+905554614801
GEN-E3897191,2026-01-09 14:55:26,151,agent.045,General Support,Inbound B,Customer Support,leader.inboundb,+905556165375
GEN-E002953B,2025-12-29 14:27:18,179,agent.007,General Support,Tech L1,Technical Service,leader.techl1,+905558653383
GEN-1CD1BCE1,2026-01-02 13:51:59,295,agent.037,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905555043183
GEN-71966963,2026-01-01 11:13:08,135,agent.036,Tech Support,Inbound B,Customer Support,leader.inboundb,+905555535870
GEN-B6272971,2026-01-05 08:32:04,209,agent.048,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905559474898
GEN-7BA907AC,2025-12-29 15:50:58,86,agent.032,VIP Line,Tech L2,Technical Service,leader.techl2,+905557020576
GEN-40A2D7D3,2026-01-15 13:33:37,231,agent.029,Tech Support,Tech L1,Technical Service,leader.techl1,+905554677972
GEN-09F78945,2025-12-23 17:13:28,148,agent.010,General Support,Tech L1,Technical Service,leader.techl1,+905556529987
GEN-5E47336C,2026-01-07 18:50:01,139,agent.045,VIP Line,Inbound B,Customer Support,leader.inboundb,+905554353427
GEN-29E69203,2026-01-04 11:58:07,89,agent.042,General Support,Inbound B,Customer Support,leader.inboundb,+905558445088
GEN-ED8E75D1,2025-12-23 08:29:07,0,,Tech Support,,,,+905554072723
GEN-756D0DE3,2025-12-22 09:07:53,198,agent.023,General Support,Inbound A,Customer Support,leader.inbounda,+905559553861
GEN-523A486B,2026-01-16 09:55:57,173,agent.001,General Support,Inbound B,Customer Support,leader.inboundb,+905554684828
GEN-154E2244,2026-01-14 10:24:51,142,agent.043,Sales Line,Tech L1,Technical Service,leader.techl1,+905554166699
GEN-56F9A65D,2026-01-02 13:44:42,192,agent.031,Tech Support,Retention,Sales,leader.retention,+905552158648
GEN-105720EB,2025-12-26 18:32:15,229,agent.033,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905553045078
GEN-94F7B464,2025-12-29 12:14:37,155,agent.041,General Support,Retention,Sales,leader.retention,+905557790929
GEN-2C685BF5,2026-01-13 18:18:38,214,agent.047,Tech Support,Inbound B,Customer Support,leader.inboundb,+905554961126
GEN-F5FF3D00,2025-12-18 13:13:34,301,agent.049,Sales Line,Inbound B,Customer Support,leader.inboundb,+905554438631
GEN-CD1523CC,2025-12-22 14:23:00,133,agent.040,General Support,Outbound Sales,Sales,leader.outboundsales,+905553832794
GEN-BD67B643,2025-12-20 17:31:54,150,agent.014,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905554946385
GEN-3BFB282C,2026-01-12 01:04:55,234,agent.037,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905556123443
GEN-22BE7DF6,2025-12-31 14:53:33,151,agent.045,General Support,Inbound B,Customer Support,leader.inboundb,+905557018636
GEN-0DCF2ABE,2026-01-14 08:29:33,194,agent.001,General Support,Inbound B,Customer Support,leader.inboundb,+905556264311
GEN-DBF6D62A,2025-12-25 18:22:39,137,agent.039,Sales Line,Tech L1,Technical Service,leader.techl1,+905559422266
GEN-E6525AC8,2025-12-22 14:13:23,194,agent.048,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905557292822
GEN-638E0720,2026-01-03 12:43:12,170,agent.022,Tech Support,Tech L1,Technical Service,leader.techl1,+905557986776
GEN-8B73CEDE,2026-01-15 18:09:48,179,agent.019,Sales Line,Tech L1,Technical Service,leader.techl1,+905559573540
GEN-65E9C232,2026-01-05 17:48:36,218,agent.010,General Support,Tech L1,Technical Service,leader.techl1,+905557254651
GEN-CF2234E0,2025-12-19 17:32:50,188,agent.040,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905555886114
GEN-B36688B2,2026-01-16 19:01:59,127,agent.025,Sales Line,Tech L2,Technical Service,leader.techl2,+905553004482
GEN-D3902CA9,2026-01-13 19:43:21,116,agent.041,VIP Line,Retention,Sales,leader.retention,+905554364225
GEN-F8B4E118,2026-01-14 19:54:43,113,agent.049,General Support,Inbound B,Customer Support,leader.inboundb,+905555537944
GEN-9E85FC17,2025-12-28 11:30:39,165,agent.011,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905551534718
GEN-FACC8404,2026-01-07 10:42:44,159,agent.027,Tech Support,VIP Support,Customer Support,leader.vipsupport,+905555740668
GEN-8C1FDA8A,2026-01-10 12:34:21,196,agent.035,General Support,Tech L2,Technical Service,leader.techl2,+905559672549
GEN-96A54A50,2026-01-16 17:00:38,115,agent.050,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905553681016
GEN-DA08155D,2025-12-22 19:18:41,135,agent.014,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905553818514
GEN-15B85EA0,2026-01-01 12:12:05,145,agent.002,Sales Line,Inbound A,Customer Support,leader.inbounda,+905556380038
GEN-42C6499C,2025-12-19 19:01:26,256,agent.024,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905555019661
GEN-B00936D0,2026-01-07 04:00:56,207,agent.004,Sales Line,Retention,Sales,leader.retention,+905554447600
GEN-22D57CC8,2025-12-27 15:47:27,171,agent.043,VIP Line,Tech L1,Technical Service,leader.techl1,+905556577213
GEN-CBFE0F94,2025-12-26 08:34:37,29,agent.031,Sales Line,Retention,Sales,leader.retention,+905551394712
GEN-BD0B73E6,2026-01-08 11:10:26,203,agent.016,Sales Line,Retention,Sales,leader.retention,+905557470660
GEN-5453C1DD,2025-12-27 03:19:32,219,agent.017,General Support,Tech L1,Technical Service,leader.techl1,+905556960232
GEN-8900A816,2025-12-29 13:57:51,193,agent.010,General Support,Tech L1,Technical Service,leader.techl1,+905555437002
GEN-D326EAB8,2026-01-11 18:22:58,214,agent.003,VIP Line,Inbound A,Customer Support,leader.inbounda,+905559504383
GEN-5A111ABF,2026-01-16 20:29:50,144,agent.010,VIP Line,Tech L1,Technical Service,leader.techl1,+905557406058
GEN-C504F128,2026-01-07 16:22:46,253,agent.015,Sales Line,Retention,Sales,leader.retention,+905558332987
GEN-72B1136E,2025-12-21 18:19:47,193,agent.046,VIP Line,Tech L1,Technical Service,leader.techl1,+905552560643
GEN-EF278F37,2026-01-03 18:20:41,95,agent.025,VIP Line,Tech L2,Technical Service,leader.techl2,+905551284672
GEN-5FA31700,2025-12-31 09:20:24,224,agent.038,General Support,Tech L2,Technical Service,leader.techl2,+905555776445
GEN-F2419F6E,2025-12-22 15:53:57,315,agent.030,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905553244827
GEN-5F7129E7,2025-12-22 12:31:23,174,agent.047,Sales Line,Inbound B,Customer Support,leader.inboundb,+905551348673
GEN-5222F720,2026-01-06 10:23:40,139,agent.003,General Support,Inbound A,Customer Support,leader.inbounda,+905559294695
GEN-9F35F4FF,2026-01-11 13:23:30,213,agent.007,General Support,Tech L1,Technical Service,leader.techl1,+905559895358
GEN-840F828B,2026-01-15 20:52:14,246,agent.012,General Support,Tech L2,Technical Service,leader.techl2,+905551981181
GEN-6C0BA810,2025-12-19 16:03:06,0,,Sales Line,,,,+905558104998
GEN-2D7E2777,2025-12-31 19:50:47,105,agent.014,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905555645019
GEN-D5A57759,2025-12-22 11:36:33,161,agent.031,General Support,Retention,Sales,leader.retention,+905555742074
GEN-1767334C,2026-01-10 21:31:07,284,agent.014,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905552203582
GEN-93110DBC,2026-01-01 13:38:34,217,agent.022,VIP Line,Tech L1,Technical Service,leader.techl1,+905556640015
GEN-1C9B4365,2025-12-24 09:29:24,181,agent.039,Tech Support,Tech L1,Technical Service,leader.techl1,+905557099725
GEN-BC6B168F,2026-01-13 13:30:10,65,agent.012,Tech Support,Tech L2,Technical Service,leader.techl2,+905559791333
GEN-3522C78F,2026-01-05 19:51:55,207,agent.047,VIP Line,Inbound B,Customer Support,leader.inboundb,+905552606008
GEN-56660E06,2025-12-23 07:20:43,181,agent.012,General Support,Tech L2,Technical Service,leader.techl2,+905552484765
GEN-3F52DB5C,2026-01-15 20:10:21,157,agent.003,Tech Support,Inbound A,Customer Support,leader.inbounda,+905557486946
GEN-DEAB5039,2026-01-07 10:10:16,138,agent.021,Sales Line,Tech L1,Technical Service,leader.techl1,+905553887071
GEN-83D914FA,2026-01-07 09:42:39,229,agent.022,VIP Line,Tech L1,Technical Service,leader.techl1,+905555015615
GEN-C7FD2E7C,2026-01-03 08:50:41,219,agent.024,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905552909091
GEN-613F0495,2025-12-18 09:01:09,212,agent.043,General Support,Tech L1,Technical Service,leader.techl1,+905556500144
GEN-DC28DFF9,2025-12-20 08:54:01,142,agent.038,Tech Support,Tech L2,Technical Service,leader.techl2,+905556231405
GEN-DEAC1785,2026-01-02 22:40:17,232,agent.021,Sales Line,Tech L1,Technical Service,leader.techl1,+905553043837
GEN-976CA75F,2025-12-31 15:25:42,137,agent.011,General Support,VIP Support,Customer Support,leader.vipsupport,+905558099924
GEN-7664EED9,2025-12-20 19:43:53,177,agent.030,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905552407798
GEN-FA891C8C,2025-12-29 10:46:38,136,agent.038,Tech Support,Tech L2,Technical Service,leader.techl2,+905554489537
GEN-134E75D9,2025-12-27 22:02:04,194,agent.009,VIP Line,Inbound A,Customer Support,leader.inbounda,+905557663774
GEN-6F3858C1,2026-01-14 15:57:48,189,agent.007,VIP Line,Tech L1,Technical Service,leader.techl1,+905559687911
GEN-9F69DA4C,2025-12-23 09:45:35,285,agent.049,General Support,Inbound B,Customer Support,leader.inboundb,+905552411384
GEN-0772B8A6,2026-01-05 21:54:43,164,agent.040,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905551604895
GEN-08B5C052,2025-12-27 15:15:31,180,agent.045,General Support,Inbound B,Customer Support,leader.inboundb,+905552658125
GEN-32D3655B,2026-01-05 13:35:48,183,agent.047,VIP Line,Inbound B,Customer Support,leader.inboundb,+905556494624
GEN-8FCDDAA7,2026-01-10 14:03:46,118,agent.035,Tech Support,Tech L2,Technical Service,leader.techl2,+905559751270
GEN-89688E15,2026-01-07 18:23:14,180,agent.047,General Support,Inbound B,Customer Support,leader.inboundb,+905554364225
GEN-1B855B04,2025-12-24 10:37:51,175,agent.029,VIP Line,Tech L1,Technical Service,leader.techl1,+905558640461
GEN-1FE274D0,2026-01-02 20:36:23,212,agent.031,Tech Support,Retention,Sales,leader.retention,+905558134389
GEN-ED700C59,2025-12-18 14:12:54,294,agent.027,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905553630423
GEN-D3D64C27,2026-01-03 11:30:20,152,agent.036,General Support,Inbound B,Customer Support,leader.inboundb,+905553434894
GEN-29DCEFCF,2025-12-30 18:29:28,216,agent.030,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905552883114
GEN-6E200E3B,2025-12-22 10:46:43,208,agent.046,Sales Line,Tech L1,Technical Service,leader.techl1,+905553681016
GEN-2760F670,2026-01-02 15:22:43,233,agent.025,Tech Support,Tech L2,Technical Service,leader.techl2,+905554639471
GEN-3FC2AE1E,2025-12-18 09:32:50,121,agent.033,Tech Support,VIP Support,Customer Support,leader.vipsupport,+905553887071
GEN-E48D8E09,2025-12-18 14:51:53,229,agent.003,VIP Line,Inbound A,Customer Support,leader.inbounda,+905552971268
GEN-D3D715E3,2026-01-14 16:30:02,91,agent.018,VIP Line,Tech L2,Technical Service,leader.techl2,+905558070713
GEN-E1791359,2025-12-27 07:31:14,154,agent.011,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905555048148
GEN-CF2AE57C,2026-01-10 07:42:11,118,agent.034,General Support,VIP Support,Customer Support,leader.vipsupport,+905552721504
GEN-AEE89632,2026-01-15 21:33:07,180,agent.014,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905554648047
GEN-A3301561,2026-01-14 12:58:17,79,agent.015,VIP Line,Retention,Sales,leader.retention,+905559514833
GEN-8D5E2D79,2025-12-28 15:42:52,194,agent.024,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905555726909
GEN-81A1EF38,2026-01-17 15:56:50,211,agent.010,VIP Line,Tech L1,Technical Service,leader.techl1,+905557130019
GEN-F7265959,2025-12-28 14:57:11,176,agent.021,Tech Support,Tech L1,Technical Service,leader.techl1,+905555433711
GEN-0DE72B8D,2025-12-24 11:09:52,237,agent.013,Tech Support,Tech L1,Technical Service,leader.techl1,+905559871154
GEN-C1E2BA8E,2025-12-29 23:58:21,123,agent.044,General Support,Inbound A,Customer Support,leader.inbounda,+905552345065
GEN-0C4DC09A,2026-01-13 05:42:35,0,,Sales Line,,,,+905554939716
GEN-CA32D1B4,2025-12-22 07:30:38,175,agent.024,Tech Support,Outbound Sales,Sales,leader.outboundsales,+905552801058
GEN-E7F5CCE7,2026-01-10 13:54:01,0,,General Support,,,,+905554719856
GEN-D32BC2B4,2026-01-12 14:53:09,294,agent.021,General Support,Tech L1,Technical Service,leader.techl1,+905555545534
GEN-CC18799C,2025-12-18 17:48:02,273,agent.043,General Support,Tech L1,Technical Service,leader.techl1,+905556508183
GEN-ED50C068,2026-01-10 12:32:37,203,agent.014,General Support,Outbound Sales,Sales,leader.outboundsales,+905553009822
GEN-F81D2AFC,2026-01-09 06:51:29,0,,Tech Support,,,,+905554353427
GEN-DF893B7B,2026-01-05 20:39:27,275,agent.024,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905558483406
GEN-CAB32283,2026-01-11 14:58:00,89,agent.019,General Support,Tech L1,Technical Service,leader.techl1,+905552402428
GEN-B7CBF27B,2026-01-14 18:56:48,314,agent.003,VIP Line,Inbound A,Customer Support,leader.inbounda,+905554890488
GEN-6CDF6A64,2026-01-02 14:02:00,137,agent.019,General Support,Tech L1,Technical Service,leader.techl1,+905557292822
GEN-0CA517C4,2025-12-25 13:06:51,0,,VIP Line,,,,+905554438631
GEN-29E21B08,2025-12-22 16:13:27,0,,VIP Line,,,,+905551653858
GEN-134F77C7,2025-12-24 22:25:45,178,agent.026,Sales Line,Tech L1,Technical Service,leader.techl1,+905555040738
GEN-8E305474,2026-01-06 19:41:59,221,agent.034,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905553317128
GEN-19C0D720,2025-12-21 08:33:10,230,agent.035,Tech Support,Tech L2,Technical Service,leader.techl2,+905557191562
GEN-4D006E20,2025-12-28 17:33:00,262,agent.007,Sales Line,Tech L1,Technical Service,leader.techl1,+905552139283
GEN-6124D8FD,2026-01-05 14:35:50,110,agent.025,Tech Support,Tech L2,Technical Service,leader.techl2,+905555085925
GEN-09C2A4D3,2026-01-05 15:47:55,163,agent.048,General Support,Outbound Sales,Sales,leader.outboundsales,+905552412309
GEN-0A54FFFB,2026-01-12 12:54:03,0,,Sales Line,,,,+905556754049
GEN-A63AEB77,2025-12-19 14:54:17,94,agent.010,Sales Line,Tech L1,Technical Service,leader.techl1,+905557633991
GEN-87B1D2A2,2026-01-13 10:35:30,0,,General Support,,,,+905555499303
GEN-2651B3B0,2026-01-14 20:41:37,311,agent.045,Sales Line,Inbound B,Customer Support,leader.inboundb,+905555617811
GEN-95F6AC10,2026-01-05 13:30:53,223,agent.011,General Support,VIP Support,Customer Support,leader.vipsupport,+905554185863
GEN-78068DB5,2025-12-18 04:52:30,106,agent.019,General Support,Tech L1,Technical Service,leader.techl1,+905552199937
GEN-B42A3566,2025-12-28 15:32:55,168,agent.033,Sales Line,VIP Support,Customer Support,leader.vipsupport,+905558244099
GEN-2BD2B560,2026-01-13 21:24:45,205,agent.035,VIP Line,Tech L2,Technical Service,leader.techl2,+905557210182
GEN-8ECD9CAC,2025-12-22 17:40:22,0,,VIP Line,,,,+905553681016
GEN-BC71BD20,2025-12-23 14:57:38,0,,Tech Support,,,,+905552962471
GEN-B9C07744,2025-12-21 16:38:30,146,agent.024,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905553959959
GEN-86C805E9,2025-12-30 13:26:16,238,agent.028,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905554827676
GEN-3A825F1E,2025-12-30 12:02:37,144,agent.025,VIP Line,Tech L2,Technical Service,leader.techl2,+905558487167
GEN-6FB10BDB,2025-12-28 13:10:50,272,agent.039,General Support,Tech L1,Technical Service,leader.techl1,+905558378437
GEN-E66039C5,2026-01-14 19:04:37,216,agent.049,VIP Line,Inbound B,Customer Support,leader.inboundb,+905551646183
GEN-077D2906,2026-01-10 10:45:01,183,agent.018,VIP Line,Tech L2,Technical Service,leader.techl2,+905558888859
GEN-E04E690C,2026-01-10 11:07:47,115,agent.037,Sales Line,Outbound Sales,Sales,leader.outboundsales,+905557020576
GEN-836BDDE8,2025-12-27 03:11:42,106,agent.010,VIP Line,Tech L1,Technical Service,leader.techl1,+905558207509
GEN-17A81B38,2026-01-05 09:43:37,138,agent.030,General Support,VIP Support,Customer Support,leader.vipsupport,+905557835559
GEN-F3B6C6AA,2026-01-04 15:15:35,0,,VIP Line,,,,+905558610648
GEN-2B373315,2025-12-27 17:02:56,140,agent.035,VIP Line,Tech L2,Technical Service,leader.techl2,+905557040793
GEN-819A26F6,2026-01-03 11:00:03,216,agent.023,VIP Line,Inbound A,Customer Support,leader.inbounda,+905559930689
GEN-3CD94833,2025-12-21 08:53:45,175,agent.031,Tech Support,Retention,Sales,leader.retention,+905556164443
GEN-A21C1181,2025-12-27 14:58:59,230,agent.002,General Support,Inbound A,Customer Support,leader.inbounda,+905557008301
GEN-6D47C6FA,2026-01-14 12:19:07,152,agent.044,VIP Line,Inbound A,Customer Support,leader.inbounda,+905552317723
GEN-1741B04B,2025-12-19 15:51:03,195,agent.033,Tech Support,VIP Support,Customer Support,leader.vipsupport,+905557292822
GEN-C701B29E,2026-01-06 12:05:29,111,agent.040,VIP Line,Outbound Sales,Sales,leader.outboundsales,+905557038278
GEN-81042B1B,2026-01-11 16:31:01,174,agent.008,General Support,Inbound A,Customer Support,leader.inbounda,+905555785672
GEN-8159F1F2,2026-01-06 18:47:09,90,agent.004,Sales Line,Retention,Sales,leader.retention,+905553108411
GEN-DCE46907,2025-12-22 15:22:08,36,agent.007,Tech Support,Tech L1,Technical Service,leader.techl1,+905552763065
GEN-6D8ACFAC,2026-01-07 13:07:37,141,agent.020,Tech Support,Tech L1,Technical Service,leader.techl1,+905552963535
GEN-BAB8BD91,2026-01-03 21:18:36,197,agent.007,Sales Line,Tech L1,Technical Service,leader.techl1,+905556832396
GEN-23F33A59,2025-12-30 17:09:37,191,agent.026,Sales Line,Tech L1,Technical Service,leader.techl1,+905555451299
GEN-405AAD84,2025-12-24 10:52:33,116,agent.039,Sales Line,Tech L1,Technical Service,leader.techl1,+905556231405
GEN-DDABF704,2025-12-25 09:43:32,239,agent.004,Tech Support,Retention,Sales,leader.retention,+905554438631
GEN-8831EA4A,2026-01-04 13:35:54,157,agent.017,Tech Support,Tech L1,Technical Service,leader.techl1,+905551234715
GEN-9E40C35E,2026-01-02 12:35:51,176,agent.013,Sales Line,Tech L1,Technical Service,leader.techl1,+905557018636
